Name|Price|Score|Votes|Address
Bravo Brasserie Restaurant|4|8.1|58|123 Empire St
LEGO Store|N/A|8.1|8|N/A
North Bakery|1|8.1|27|70 Battey St
East Side YMCA|N/A|8.1|16|438 Hope St
UMelt|1|8.1|29|129 Weybosset St
The Classic Cafe|1|8.1|77|865 Westminster St
The Salted Slate|3|8.0|20|186 Wayland Ave
Nordstrom Providence Place|N/A|8.0|56|6 Providence Pl
Starbucks|1|8.0|23|59 Chestnut St
Omni Providence|N/A|8.0|115|1 W Exchange St
Mt. Fuji Japanese Steakhouse|2|8.0|37|N/A
Fellini Pizzeria|1|8.0|84|166 Wickenden St
Campus Dance|3|8.0|11|Brown University
Sandwich Hut|1|8.0|27|1253 N Main St
Don Jose Tequilas|2|8.0|31|351 Atwells Ave
EGO|3|8.0|35|71 Richmond St
Clean Plate|2|8.0|14|345 S Water St
Walgreens|N/A|8.0|9|354 Admiral St
The Butcher Shop|1|8.0|12|Elmgrove Ave.
Sephora|N/A|8.0|13|168 Providence Pl
Roger Williams Park|N/A|8.0|31|N/A
Red Stripe|2|8.0|112|465 Angell St
Starbucks|1|8.0|59|11 Dorrance St
Milk Money|3|8.0|12|566 South Water St
Livi's Pockets|2|8.0|10|65 Weybosett Street
XO Cafe|2|7.9|42|125 N Main St
Rhode Island School of Design|N/A|7.9|45|2 College St
Pane e Vino Ristorante|4|7.9|40|365 Atwells Ave
Nelson Fitness Center At Brown University|N/A|7.9|32|235 Hope St
Bagel Gourmet|1|7.9|37|250 Brook St
Fleming's Prime Steakhouse & Wine Bar|3|7.9|47|1 W Exchange St
Olga's Cup + Saucer|2|7.9|82|103 Point St
La La Luxe Salon|N/A|7.9|14|139 Elmgrove Ave
The Dark Lady|2|7.9|58|17 Snow St
Vanuatu Coffee Roasters|1|7.9|12|N/A
Hope St. Farmers Market|N/A|7.9|16|Lippitt Park Hope St. and Blackstone Boulevard
The Spa @ The Providence Biltmore|N/A|7.9|13|Washington St
Elmhurst Pub|2|7.9|14|670 Smith St
Andino's Italian Restaurant|3|7.9|51|171 Atwells Ave
Nick-A-Nees|2|7.9|24|75 South St
New Harvest Coffee & Spirits|1|7.9|50|130 Westminster St
Dave & Buster's|2|7.9|253|40 Providence Pl
Haven Brothers Diner|1|7.9|46|12 Fulton St
Whole Foods Market|N/A|7.9|62|261 Waterman St
.:Therapy|3|7.9|15|62 Dike St
Ebisu|2|7.8|45|38 Pontiac Ave
Three Sisters|1|7.8|72|1074 Hope St
