Name|Location
Jacky's Waterplace|200 Exchange St, Providence, RI 02903
Spice Thai Bistro|120 Waterman St, Providence, RI 02918
Starbucks Coffee|11 Dorrance St, Providence, RI 02903
Murphy's Deli & Bar|100 Fountain St, Providence, RI 02903
The Red Fez|49 Peck St, Providence, RI 02903
Centro Restaurant and Lounge|Omni Hotel, Providence, RI 02903
Sakura Restaurant|231 Wickenden St, Providence, RI 02903
Olga's Cup and Saucer|103 Point St, Providence, RI 02903
Eddie & Sons Diner|74 Dorrance St, Providence, RI 02903
Raphael Bar Risto|1 Union Station, Providence, RI 02903
Gourmet India|Providence Place Mall, Providence, RI 02903
Blue State Coffee|300 Thayer St, Providence, RI 02906
Pizza Queen|215 Weybosset St, Providence, RI 02903
Soban|272 Thayer St, Providence, RI 02906
Bagel Gourmet Ole|288 Thayer St, Providence, RI 02906
Tommy's Place|144 Westminster St, Providence, RI 02903
3 Steeple Street Bistro & Bar|125 Canal St, Providence, RI 02903
Café Yuni|10 Traverse St, Providence, RI 02903
The Wild Colonial Tavern|250 S Water St, Providence, RI 02903
Eat 82|82 Weybosset St, Providence, RI 02903
Asian Paradise Restaurant|165 Angell St, Providence, RI 02906
Via Via IV|205 Meeting St, Providence, RI 02906
Haruki Express|112 Waterman St, Providence, RI 02906
Baja's Burritos|273 Thayer St, Providence, RI 02906
Gordito Burrito|258 Thayer St, Providence, RI 02906
Amy's Place|214 Wickenden St, Providence, RI 02918
Nice Slice|267 Thayer St, Providence, RI 02906
Roots Cafe|276 Westminster St, Providence, RI 02903
Coffee Exchange|207 Wickenden St, Providence, RI 02903
Bagel Gourmet|250 Brook St, Providence, RI 02906
Jake's Bar & Grille|373 Richmond St, Providence, RI 02903
Malachi's|134 Ives St, Providence, RI 02906
Sherri's Cafe 101|101 Dyer St, Providence, RI 02903
Tealuxe Inc|231 Thayer St, Providence, RI 02906
Spice Thai Bistro and East Side Perks|120 Waterman St, Providence, RI 02918
Starbucks Coffee|59 Chestnut St, Providence, RI 02903
The Whiskey Republic|15 Bridge St, Providence, RI 02903
La Creperie|82 Fones Aly, Providence, RI 02906
Guido's Restaurant|100 Hope St, Providence, RI 02906
Bacaro|262 S Water St, Providence, RI 02903
Fancheezical|n/a
Wings & Things|250 Brook St, Providence, RI 02906
City Cafe the|79 Dorrance St, Providence, RI 02903
Shanghai Restaurant|272 Thayer St, Providence, RI 02906
Hemenway's|121 S Main St, Providence, RI 02903
Pizza Pie-Er|374 Wickenden St, Providence, RI 02903
The Pizza Gourmet|357 Hope St, Providence, RI 02906
Luxe Burger Bar|5 Memorial Blvd, Providence, RI 02903
Noodles 102|102 Ives St, Providence, RI 02906
Au Bon Pain|223 Thayer St, Providence, RI 02906
Cuban Revolution|50 Aborn St, Providence, RI 02903
XO Café|125 N Main St, Providence, RI 02903
Mill's Tavern|101 N Main St, Providence, RI 02903
Cafe Nuovo|1 Citizens Plz, Providence, RI 02903
Sakis Pizza|199 Weybosset St, Providence, RI 02903
Aspire|311 Westminster St, Providence, RI 02903
East Side Creamery|170 Ives St, Providence, RI 02906
Jolly Roger Cafe|257 S Main St, Providence, RI 02903
Dunkin Donuts|141 West Minister St, Providence, RI 02903
Giovanni's Pizza|85 Richmond St, Providence, RI 02903
RiRa: The Irish Pub & Restaurant|50 Exchange Ter, Providence, RI 02903
Gavin's Pub & Restaurant|520 S Water St, Providence, RI 02903
Bolt Coffee Co|122 Fountain St, Providence, RI 02903
Starbucks Coffee|218 Thayer St, Providence, RI 02906
Ruth's Chris Steak House|10 Memorial Blvd, Providence, RI 02903
Cafe la France|65 Weybosset St, Providence, RI 02903
Subway Sandwiches of Downtown Providence|55 Eddy St, Providence, RI 02903
Charlie's 404 Deli|404 Benefit St, Providence, RI 02903
The ROI Food & Music|150 Chestnut St, Providence, RI 02903
Wings To Go|272 Thayer St, Providence, RI 02906
Blue Elephant|312 Wickenden St, Providence, RI 02906
Gracie's|194 Washington St, Providence, RI 02903
TeainSahara|69 Governor St, Providence, RI 02906
Agora Restaurant & Bar|1 W Exchange St, Providence, RI 02903
Harry's Bar & Burger|121 N Main St, Providence, RI 02903
Vanity|566 S Main St, Providence, RI 02903
Waterplace Restaurant|1 Finance Way, Providence, RI 02903
Spike's Junkyard Dogs|273 Thayer St, Providence, RI 02906
The Congress Tavern|62 Orange St, Providence, RI 02903
Tokyo Restaurant|388 Wickenden St, Providence, RI 02903
New Japan|145 Washington St, Providence, RI 02903
Taste of India|230 Wickenden St, Providence, RI 02903
Kabob and Curry|261 Thayer St, Providence, RI 02906
Metro Cafe|101 Dyer St, Providence, RI 02903
Shark|275 Thayer St, Providence, RI 02906
Coffee King|66 Fountain St, Providence, RI 02903
Stanley's Hamburgers|371 Richmond St, Providence, RI 02903
Johnny Rockets|269 Thayer Street, Providence, RI 02903
Dairy Queen|Providence Place Mall, Providence, RI 02918
Spike's Junkyard Dogs|85 Richmond St, Providence, RI 02903
Pizzeria Uno Chicago Bar & Grill|82 Providence Place, Providence, RI 02903
Round the Corner|12 Governor St, Providence, RI 02906
P.F. Chang's China Bistro|111 Providence Place, Providence, RI 02903
Tortilla Flats|355 Hope St, Providence, RI 02906
Barnsider's Mile & A Quarter|375 S Main St, Providence, RI 02903
Urban Dog|244 Thayer Street, Providence, RI 02912
Lola's Tequila Bar & Cantina|25 Bridge St, Providence, RI 02905
McFadden's|52 Pine St, Providence, RI 02903
Paragon|234 Thayer St, Providence, RI 02906
Antonio's Pizza|258 Thayer St, Providence, RI 02906
South Street Cafe|54 South St, Providence, RI 02903
Everyman|311 Iron Horse Wy, Providence, RI 02908
Xtreme Pizza & Wings|272 Thayer St, Providence, RI 02906
Restaurant Prov|99 Chestnut St, Providence, RI 02903
